version,tagId,timestamp,x,y,z,success,blinkIndex,latency,anchorid1,anchorid2,anchorid3,anchorid4,anchorid5,rss1,rss2,rss3,rss4,rss5,converted_date,time
2.1,200000637,1688737301.487432,,,,False,17610,26,5018,5043,5077,5084,5094,-81,-84.0,-96.0,-85.0,-91.0,2023-07-07,08:41:41.487
2.1,200000636,1688737302.119982,,,,False,541701,21,5018,5043,5077,5084,5094,-84,-87.0,-102.0,-92.0,-99.0,2023-07-07,08:41:42.119
2.1,200000637,1688737302.489081,,,,False,17611,29,5018,5043,5077,5084,5094,-81,-82.0,-97.0,-85.0,-89.0,2023-07-07,08:41:42.489
2.1,200000662,1688737302.698021,-7168.0,10429.0,1000.0,True,26711,16,5018,5043,5077,5084,5094,-82,-81.0,-105.0,-85.0,-88.0,2023-07-07,08:41:42.698
2.1,200000641,1688737302.876564,,,,False,472195,28,5018,5043,5077,5084,5094,-82,-83.0,-91.0,-85.0,-86.0,2023-07-07,08:41:42.876
2.1,200000636,1688737303.0867999,,,,False,541702,33,5018,5043,5084,5094,,-84,-86.0,-96.0,-94.0,,2023-07-07,08:41:43.086
2.1,200000638,1688737303.2849479,,,,False,8762,23,5018,5043,5077,5084,5094,-81,-81.0,-88.0,-82.0,-82.0,2023-07-07,08:41:43.284
2.1,200000639,1688737303.339572,,,,False,51638,37,5018,5043,5077,5084,5094,-81,-87.0,-99.0,-97.0,-94.0,2023-07-07,08:41:43.339
2.1,200000637,1688737303.502455,,,,False,17612,22,5018,5043,5077,5084,5094,-81,-84.0,-92.0,-87.0,-93.0,2023-07-07,08:41:43.502
2.1,200000641,1688737303.892699,,,,False,472196,20,5018,5043,5077,5084,5094,-82,-83.0,-96.0,-84.0,-91.0,2023-07-07,08:41:43.892
2.1,200000636,1688737304.092567,,,,False,541703,23,5018,5043,5084,5094,,-86,-90.0,-93.0,-90.0,,2023-07-07,08:41:44.092
2.1,200000640,1688737304.279477,,,,False,34079,15,5018,5043,5084,5094,,-82,-89.0,-93.0,-92.0,,2023-07-07,08:41:44.279
2.1,200000637,1688737304.4995189,,,,False,17613,18,5018,5043,5077,5084,5094,-82,-83.0,-96.0,-86.0,-85.0,2023-07-07,08:41:44.499
2.1,200000662,1688737304.668042,-7526.0,10211.0,1000.0,True,26713,28,5018,5043,5084,5094,,-84,-81.0,-88.0,-95.0,,2023-07-07,08:41:44.668
2.1,200000636,1688737305.1025078,,,,False,541704,14,5018,5043,5084,5094,,-85,-93.0,-101.0,-92.0,,2023-07-07,08:41:45.102
2.1,200000638,1688737305.287762,,,,False,8764,28,5018,5043,5077,5084,5094,-82,-83.0,-89.0,-86.0,-82.0,2023-07-07,08:41:45.287
2.1,200000637,1688737305.485777,,,,False,17614,26,5018,5043,5077,5084,5094,-82,-83.0,-94.0,-87.0,-82.0,2023-07-07,08:41:45.485
2.1,200000641,1688737305.9473069,,,,False,472198,10,5018,5043,5077,5084,5094,-82,-82.0,-99.0,-88.0,-83.0,2023-07-07,08:41:45.947
2.1,200000654,1688737306.249971,-8730.0,12521.0,1000.0,True,27229,23,5018,5043,5084,5094,,-86,-82.0,-90.0,-102.0,,2023-07-07,08:41:46.249
2.1,200000636,1688737306.0760949,,,,False,541705,213,5018,5043,,,,-85,-95.0,,,,2023-07-07,08:41:46.076
2.1,200000637,1688737306.500614,,,,False,17615,29,5018,5043,5077,5084,5094,-83,-85.0,-105.0,-89.0,-94.0,2023-07-07,08:41:46.500
2.1,200000636,1688737307.054481,,,,False,541706,11,5018,5043,5084,,,-85,-94.0,-98.0,,,2023-07-07,08:41:47.054
2.1,200000638,1688737307.349591,,,,False,8766,34,5018,5043,5077,5084,5094,-81,-83.0,-88.0,-84.0,-83.0,2023-07-07,08:41:47.349
2.1,200000637,1688737307.497642,,,,False,17616,27,5018,5043,5077,5084,5094,-81,-84.0,-94.0,-89.0,-87.0,2023-07-07,08:41:47.497
2.1,200000641,1688737307.989867,,,,False,472200,19,5018,5043,5077,5084,5094,-82,-84.0,-102.0,-87.0,-90.0,2023-07-07,08:41:47.989
2.1,200000636,1688737308.039877,,,,False,541707,23,5018,5043,5084,,,-84,-88.0,-96.0,,,2023-07-07,08:41:48.039
2.1,200000654,1688737308.2772,-8701.0,13279.0,1000.0,True,27231,24,5018,5043,5077,5084,5094,-83,-82.0,-96.0,-86.0,-120.0,2023-07-07,08:41:48.277
2.1,200000638,1688737308.348326,-13194.0,13884.0,1000.0,True,8767,21,5018,5043,5077,5084,5094,-81,-81.0,-84.0,-82.0,-82.0,2023-07-07,08:41:48.348
2.1,200000637,1688737308.4873018,,,,False,17617,20,5018,5043,5077,5084,5094,-82,-84.0,-120.0,-88.0,-89.0,2023-07-07,08:41:48.487
2.1,200000664,1688737308.682442,,,,False,1981,31,5018,5043,5084,5094,,-84,-88.0,-93.0,-90.0,,2023-07-07,08:41:48.682
2.1,200000641,1688737309.0127468,,,,False,472201,19,5018,5043,5077,5084,5094,-81,-84.0,-93.0,-87.0,-86.0,2023-07-07,08:41:49.012
2.1,200000636,1688737309.051218,,,,False,541708,17,5018,5043,5084,5094,,-83,-89.0,-92.0,-90.0,,2023-07-07,08:41:49.051
2.1,200000654,1688737309.268769,,,,False,27232,25,5018,5043,5084,,,-85,-82.0,-105.0,,,2023-07-07,08:41:49.268
2.1,200000638,1688737309.3504379,-13194.0,13884.0,1000.0,True,8768,16,5018,5043,5077,5084,5094,-81,-81.0,-89.0,-82.0,-82.0,2023-07-07,08:41:49.350
2.1,200000637,1688737309.5220618,-13351.0,13914.0,1000.0,True,17618,24,5018,5043,5077,5084,5094,-82,-84.0,-120.0,-87.0,-87.0,2023-07-07,08:41:49.522
2.1,200000636,1688737310.079943,,,,False,541709,20,5018,5043,5084,5094,,-82,-93.0,-91.0,-97.0,,2023-07-07,08:41:50.079
2.1,200000638,1688737310.393874,-13194.0,13884.0,1000.0,True,8769,36,5018,5043,5077,5084,5094,-81,-82.0,-85.0,-82.0,-82.0,2023-07-07,08:41:50.393
2.1,200000637,1688737310.562161,-13351.0,13914.0,1000.0,True,17619,16,5018,5043,5077,5084,5094,-81,-82.0,-91.0,-86.0,-83.0,2023-07-07,08:41:50.562
2.1,200000636,1688737311.102458,,,,False,541710,23,5018,5043,5084,5094,,-82,-86.0,-89.0,-92.0,,2023-07-07,08:41:51.102
2.1,200000638,1688737311.437976,-13602.0,13940.0,1000.0,True,8770,26,5018,5043,5077,5084,5094,-82,-82.0,-87.0,-83.0,-82.0,2023-07-07,08:41:51.437
2.1,200000637,1688737311.555049,-13723.0,13918.0,1000.0,True,17620,19,5018,5043,5077,5084,5094,-81,-83.0,-95.0,-87.0,-87.0,2023-07-07,08:41:51.555
2.1,200000636,1688737312.110925,,,,False,541711,18,5018,5043,5084,,,-83,-96.0,-103.0,,,2023-07-07,08:41:52.110
2.1,200000638,1688737312.480598,-13602.0,13940.0,1000.0,True,8771,29,5018,5043,5077,5084,5094,-81,-81.0,-86.0,-82.0,-82.0,2023-07-07,08:41:52.480
2.1,200000637,1688737312.529739,-13725.0,14276.0,1000.0,True,17621,26,5018,5043,5077,5084,5094,-81,-84.0,-98.0,-89.0,-85.0,2023-07-07,08:41:52.529
2.1,200000636,1688737313.109416,,,,False,541712,16,5018,5043,5094,,,-86,-90.0,-96.0,,,2023-07-07,08:41:53.109
2.1,200000637,1688737313.5220459,-13725.0,14276.0,1000.0,True,17622,22,5018,5043,5077,5084,5094,-82,-85.0,-98.0,-87.0,-86.0,2023-07-07,08:41:53.522
2.1,200000661,1688737313.458222,,,,False,5887,210,5018,5043,,,,-84,-98.0,,,,2023-07-07,08:41:53.458
2.1,200000636,1688737314.140069,,,,False,541713,21,5018,5043,5084,5094,,-86,-90.0,-105.0,-97.0,,2023-07-07,08:41:54.140
2.1,200000638,1688737314.5201418,,,,False,8773,24,5018,5043,5077,5084,5094,-81,-81.0,-85.0,-82.0,-82.0,2023-07-07,08:41:54.520
2.1,200000637,1688737314.542244,-14013.0,14459.0,1000.0,True,17623,15,5018,5043,5077,5084,5094,-82,-84.0,-120.0,-88.0,-89.0,2023-07-07,08:41:54.542
2.1,200000636,1688737315.178664,,,,False,541714,15,5018,5043,5094,,,-85,-89.0,-98.0,,,2023-07-07,08:41:55.178
2.1,200000638,1688737315.523321,,,,False,8774,9,5018,5043,5077,5084,5094,-82,-81.0,-86.0,-81.0,-82.0,2023-07-07,08:41:55.523
2.1,200000637,1688737315.5531828,-14013.0,14459.0,1000.0,True,17624,25,5018,5043,5077,5084,5094,-82,-83.0,-100.0,-86.0,-87.0,2023-07-07,08:41:55.553
