tagId,time,x,y,z
200000654,14:26:46,807,-70,1000
200000636,14:26:46,1666,-1594,1000
200000639,14:26:46,3520,-4317,1000
200000661,14:26:46,369,-1197,1000
200000663,14:26:46,3825,-1115,1000
200000662,14:26:46,4679,-401,1000
200000638,14:26:47,3885,-1836,1000
200000640,14:26:47,2621,-1248,1000
200000641,14:26:47,3742,-2848,1000
200000654,14:26:47,208,-79,1000
200000636,14:26:47,1666,-1594,1000
200000639,14:26:47,,,
200000661,14:26:47,369,-1197,1000
200000662,14:26:47,,,
200000663,14:26:47,3825,-1115,1000
200000638,14:26:48,3881,-1519,1000
200000640,14:26:48,2621,-1248,1000
200000654,14:26:48,208,-79,1000
200000641,14:26:48,,,
200000663,14:26:48,3825,-1115,1000
200000636,14:26:48,1967,-1650,1000
200000639,14:26:48,3348,-3548,1000
200000661,14:26:48,369,-1197,1000
200000662,14:26:48,5878,-1730,1000
200000638,14:26:49,3627,-578,1000
200000640,14:26:49,2621,-1248,1000
200000641,14:26:49,3855,-1446,1000
200000654,14:26:49,208,-79,1000
200000636,14:26:49,1967,-1650,1000
200000639,14:26:49,3348,-3548,1000
200000661,14:26:49,369,-1197,1000
200000662,14:26:49,6039,-1449,1000
200000663,14:26:49,3825,-1115,1000
200000638,14:26:50,3951,-490,1000
200000640,14:26:50,2721,-1607,1000
200000641,14:26:50,4028,-750,1000
200000654,14:26:50,208,-79,1000
200000636,14:26:50,1124,-1345,1000
200000639,14:26:50,3561,-2634,1000
200000661,14:26:50,369,-1197,1000
200000662,14:26:50,,,
200000663,14:26:50,3825,-1115,1000
200000638,14:26:51,4107,-146,1000
200000640,14:26:51,2721,-1607,1000
200000654,14:26:51,208,-79,1000
200000641,14:26:51,4028,-750,1000
200000661,14:26:51,745,-1786,1000
200000636,14:26:51,1886,-1653,1000
200000639,14:26:51,3840,-2310,1000
200000662,14:26:51,,,
200000663,14:26:51,3825,-1115,1000
200000638,14:26:52,4440,108,1000
200000640,14:26:52,2607,-1290,1000
200000641,14:26:52,4605,-896,1000
200000654,14:26:52,208,-79,1000
200000636,14:26:52,1886,-1653,1000
200000639,14:26:52,3840,-2310,1000
200000661,14:26:52,1172,-1915,1000
200000662,14:26:52,6470,17,1000
200000663,14:26:52,4118,-1348,1000
200000638,14:26:53,4265,-304,1000
200000640,14:26:53,2607,-1290,1000
200000654,14:26:53,-199,194,1000
200000641,14:26:53,4605,-896,1000
200000661,14:26:53,1156,-2261,1000
200000636,14:26:53,1886,-1653,1000
200000639,14:26:53,3840,-2310,1000
200000662,14:26:53,6205,242,1000
200000663,14:26:53,3818,-1431,1000
200000638,14:26:54,4241,-2,1000
200000640,14:26:54,2607,-1290,1000
200000641,14:26:54,4948,-1050,1000
200000654,14:26:54,177,59,1000
200000661,14:26:54,1012,-2524,1000
200000662,14:26:54,5987,-52,1000
200000663,14:26:54,3818,-1431,1000
200000636,14:26:54,1886,-1653,1000
200000639,14:26:54,3840,-2310,1000
200000638,14:26:55,4662,602,1000
200000640,14:26:55,2607,-1290,1000
200000641,14:26:55,4948,-1050,1000
200000654,14:26:55,177,59,1000
200000636,14:26:55,1886,-1653,1000
200000639,14:26:55,3840,-2310,1000
200000661,14:26:55,267,-2355,1000
200000662,14:26:55,5987,-52,1000
200000663,14:26:55,3760,-1068,1000
200000638,14:26:56,4314,24,1000
200000640,14:26:56,2607,-1290,1000
200000641,14:26:56,4690,-785,1000
200000654,14:26:56,177,59,1000
200000636,14:26:56,1886,-1653,1000
200000639,14:26:56,3914,-2603,1000
200000661,14:26:56,267,-2355,1000
200000662,14:26:56,5987,-52,1000
200000663,14:26:56,3760,-1068,1000
200000638,14:26:57,4015,-189,1000
200000640,14:26:57,2910,-1268,1000
200000641,14:26:57,4690,-785,1000
200000654,14:26:57,177,59,1000
200000639,14:26:57,3924,-3026,1000
200000661,14:26:57,-273,-2404,1000
200000662,14:26:57,5703,196,1000
200000663,14:26:57,3760,-1068,1000
200000636,14:26:57,2146,-1930,1000
200000638,14:26:58,4376,415,1000
200000640,14:26:58,2910,-1268,1000
200000641,14:26:58,4690,-785,1000
200000654,14:26:58,136,-444,1000
200000662,14:26:58,6007,38,1000
200000639,14:26:58,3924,-3026,1000
200000661,14:26:58,-273,-2404,1000
200000663,14:26:58,3760,-1068,1000
200000636,14:26:58,1789,-1659,1000
200000638,14:26:59,4376,415,1000
200000640,14:26:59,2910,-1268,1000
200000641,14:26:59,4690,-785,1000
200000654,14:26:59,136,-444,1000
200000662,14:26:59,5924,-512,1000
200000639,14:26:59,3998,-2296,1000
200000661,14:26:59,61,-2943,1000
200000663,14:26:59,3760,-1068,1000
200000636,14:26:59,1789,-1659,1000
200000638,14:27:00,4376,415,1000
200000640,14:27:00,2910,-1268,1000
200000641,14:27:00,4690,-785,1000
200000654,14:27:00,-209,-411,1000
200000662,14:27:00,5758,-864,1000
200000663,14:27:00,3760,-1068,1000
200000639,14:27:00,4456,-2305,1000
200000661,14:27:00,401,-3050,1000
200000636,14:27:00,2086,-1929,1000
200000638,14:27:01,4376,415,1000
200000640,14:27:01,2910,-1268,1000
200000641,14:27:01,4690,-785,1000
200000654,14:27:01,-209,-411,1000
200000661,14:27:01,401,-3050,1000
200000662,14:27:01,5758,-864,1000
200000663,14:27:01,3760,-1068,1000
200000636,14:27:01,2451,-2004,1000
200000639,14:27:01,4456,-2305,1000
200000638,14:27:02,4376,415,1000
200000640,14:27:02,2910,-1268,1000
200000641,14:27:02,4690,-785,1000
200000654,14:27:02,-209,-411,1000
200000639,14:27:02,4456,-2305,1000
200000661,14:27:02,376,-3396,1000
200000662,14:27:02,5758,-864,1000
200000663,14:27:02,3760,-1068,1000
200000636,14:27:02,2125,-1788,1000
200000638,14:27:03,4103,202,1000
200000640,14:27:03,2910,-1268,1000
200000641,14:27:03,4690,-785,1000
200000654,14:27:03,-209,-411,1000
200000661,14:27:03,376,-3396,1000
200000662,14:27:03,6429,-946,1000
200000663,14:27:03,3760,-1068,1000
200000636,14:27:03,2125,-1788,1000
200000639,14:27:03,4456,-2305,1000
200000638,14:27:04,4489,403,1000
200000640,14:27:04,2910,-1268,1000
200000641,14:27:04,4690,-785,1000
200000654,14:27:04,-1202,-807,1000
200000662,14:27:04,6429,-946,1000
200000663,14:27:04,3433,-1044,1000
200000639,14:27:04,4456,-2305,1000
200000661,14:27:04,376,-3396,1000
200000636,14:27:04,1847,-1565,1000
200000638,14:27:05,4489,403,1000
200000640,14:27:05,2910,-1268,1000
200000654,14:27:05,-792,-536,1000
200000641,14:27:05,,,
200000662,14:27:05,5880,-918,1000
200000663,14:27:05,3433,-1044,1000
200000639,14:27:05,4456,-2305,1000
200000661,14:27:05,535,-3068,1000
200000636,14:27:05,1847,-1565,1000
200000638,14:27:06,4656,749,1000
200000640,14:27:05,2910,-1268,1000
200000641,14:27:06,,,
200000654,14:27:06,-322,-30,1000
200000639,14:27:06,4456,-2305,1000
200000661,14:27:06,-539,-2573,1000
200000662,14:27:06,6223,-656,1000
200000663,14:27:06,3433,-1044,1000
200000636,14:27:06,1847,-1565,1000
200000638,14:27:07,4656,749,1000
200000640,14:27:06,2910,-1268,1000
200000641,14:27:07,4690,-785,1000
200000654,14:27:07,-490,-441,1000
200000662,14:27:07,6223,-656,1000
200000639,14:27:07,4456,-2305,1000
200000661,14:27:07,-263,-1991,1000
200000663,14:27:07,3433,-1044,1000
200000636,14:27:07,1847,-1565,1000
200000638,14:27:08,4986,1503,1000
200000640,14:27:08,2910,-1268,1000
200000641,14:27:08,4845,-487,1000
200000654,14:27:08,-490,-441,1000
200000662,14:27:08,5913,-746,1000
200000639,14:27:08,4456,-2305,1000
200000661,14:27:08,1383,-1086,1000
200000663,14:27:08,3433,-1044,1000
200000636,14:27:08,1847,-1565,1000
200000638,14:27:09,4833,884,1000
200000640,14:27:09,2910,-1268,1000
200000641,14:27:09,4845,-487,1000
200000654,14:27:09,-181,-540,1000
200000662,14:27:09,5913,-746,1000
200000639,14:27:09,4004,-2576,1000
200000661,14:27:09,1383,-1086,1000
200000663,14:27:09,3433,-1044,1000
200000636,14:27:09,1847,-1565,1000
200000638,14:27:10,4420,583,1000
200000640,14:27:10,2910,-1268,1000
200000641,14:27:10,4729,-874,1000
200000654,14:27:10,-181,-540,1000
200000639,14:27:10,4004,-2576,1000
200000661,14:27:10,1156,-1495,1000
200000662,14:27:10,6082,-252,1000
200000663,14:27:10,3774,-1280,1000
200000636,14:27:10,1847,-1565,1000
200000638,14:27:11,4420,583,1000
200000640,14:27:11,2910,-1268,1000
200000641,14:27:11,4729,-874,1000
200000654,14:27:11,-181,-540,1000
200000662,14:27:11,5823,35,1000
200000663,14:27:11,3774,-1280,1000
200000636,14:27:11,1847,-1565,1000
200000640,14:27:12,2910,-1268,1000
200000661,14:27:11,,,
200000638,14:27:12,4420,583,1000
200000641,14:27:12,4729,-874,1000
200000654,14:27:12,-749,-559,1000
200000639,14:27:12,3725,-2392,1000
200000661,14:27:12,543,-1134,1000
200000662,14:27:12,5823,35,1000
200000663,14:27:12,3774,-1280,1000
200000636,14:27:12,1847,-1565,1000
200000640,14:27:13,2910,-1268,1000
200000638,14:27:13,4823,942,1000
200000641,14:27:13,4729,-874,1000
200000654,14:27:13,-451,-603,1000
200000639,14:27:13,3360,-2103,1000
200000661,14:27:13,-540,-1913,1000
200000662,14:27:13,5823,35,1000
200000663,14:27:13,3774,-1280,1000
200000636,14:27:13,1953,-2082,1000
200000638,14:27:14,4629,618,1000
200000640,14:27:14,2910,-1268,1000
200000641,14:27:14,4724,-540,1000
200000654,14:27:14,-196,-267,1000
200000662,14:27:14,6049,-356,1000
200000639,14:27:14,3360,-2103,1000
200000661,14:27:14,,,
200000663,14:27:14,3774,-1280,1000
200000636,14:27:14,1953,-2082,1000
200000640,14:27:15,2910,-1268,1000
200000638,14:27:15,4629,618,1000
200000641,14:27:15,4724,-540,1000
200000654,14:27:15,-196,-267,1000
200000661,14:27:15,,,
200000662,14:27:15,5862,-724,1000
200000663,14:27:15,3774,-1280,1000
200000636,14:27:15,1579,-1498,1000
200000639,14:27:15,3825,-2422,1000
200000638,14:27:16,4629,618,1000
200000640,14:27:16,2910,-1268,1000
200000641,14:27:16,4724,-540,1000
200000654,14:27:16,-196,-267,1000
200000662,14:27:16,5546,-510,1000
200000639,14:27:16,3825,-2422,1000
200000661,14:27:16,-829,-2897,1000
200000663,14:27:16,3774,-1280,1000
200000636,14:27:16,1831,-1801,1000
200000640,14:27:17,2529,-1214,1000
200000638,14:27:17,4486,-29,1000
200000641,14:27:17,4724,-540,1000
200000654,14:27:17,12,-489,1000
200000662,14:27:17,5546,-510,1000
200000661,14:27:17,-352,-2537,1000
200000636,14:27:17,1831,-1801,1000
200000639,14:27:17,3825,-2422,1000
200000663,14:27:17,3774,-1280,1000
200000638,14:27:18,4634,232,1000
200000640,14:27:18,2529,-1214,1000
200000641,14:27:18,4724,-540,1000
200000654,14:27:18,266,-221,1000
200000662,14:27:18,5546,-510,1000
200000661,14:27:18,-762,-2639,1000
200000636,14:27:18,1831,-1801,1000
200000639,14:27:18,3535,-2608,1000
200000663,14:27:18,3604,-928,1000
200000638,14:27:19,4513,674,1000
200000640,14:27:19,2529,-1214,1000
200000641,14:27:19,4724,-540,1000
200000654,14:27:19,,,
200000661,14:27:19,-118,-2493,1000
200000662,14:27:19,5502,-169,1000
200000636,14:27:19,1831,-1801,1000
200000639,14:27:19,2643,-1990,1000
200000663,14:27:19,3892,-1157,1000
200000638,14:27:20,4056,77,1000
200000640,14:27:20,3042,-1501,1000
200000641,14:27:20,5332,-222,1000
200000654,14:27:20,889,-830,1000
200000662,14:27:20,5502,-169,1000
200000639,14:27:20,3100,-1993,1000
200000661,14:27:20,261,-2676,1000
200000663,14:27:20,3892,-1157,1000
200000636,14:27:20,1831,-1801,1000
200000640,14:27:21,3042,-1501,1000
200000638,14:27:21,4056,77,1000
200000641,14:27:21,4408,-614,1000
200000654,14:27:21,889,-830,1000
200000662,14:27:21,5404,-474,1000
200000639,14:27:21,3100,-1993,1000
200000661,14:27:21,261,-2676,1000
200000663,14:27:21,3892,-1157,1000
200000636,14:27:21,1831,-1801,1000
200000638,14:27:22,4056,77,1000
200000640,14:27:22,3042,-1501,1000
200000641,14:27:22,4408,-614,1000
200000654,14:27:22,889,-830,1000
200000662,14:27:22,5404,-474,1000
200000661,14:27:22,1033,-2723,1000
200000663,14:27:22,3892,-1157,1000
200000636,14:27:22,1831,-1801,1000
200000639,14:27:22,3100,-1993,1000
200000638,14:27:23,4261,658,1000
200000640,14:27:23,3042,-1501,1000
200000641,14:27:23,3888,-705,1000
200000654,14:27:23,646,-637,1000
200000662,14:27:23,5863,-359,1000
200000639,14:27:23,3614,-2228,1000
200000661,14:27:23,1033,-2723,1000
200000663,14:27:23,3892,-1157,1000
200000636,14:27:23,1831,-1801,1000
200000638,14:27:24,4107,314,1000
200000640,14:27:24,3042,-1501,1000
200000641,14:27:24,3888,-705,1000
200000654,14:27:24,1019,-943,1000
200000662,14:27:24,5863,-359,1000
200000639,14:27:24,3711,-2554,1000
200000661,14:27:24,1033,-2723,1000
200000663,14:27:24,3892,-1157,1000
200000636,14:27:24,1831,-1801,1000
200000638,14:27:25,4399,830,1000
200000640,14:27:25,3042,-1501,1000
200000641,14:27:25,4321,-841,1000
200000654,14:27:25,1019,-943,1000
200000662,14:27:25,5863,-359,1000
200000639,14:27:25,3825,-3977,1000
200000661,14:27:25,1033,-2723,1000
200000663,14:27:25,3892,-1157,1000
200000636,14:27:25,1831,-1801,1000
200000638,14:27:26,4263,542,1000
200000640,14:27:26,3042,-1501,1000
200000641,14:27:26,4647,-987,1000
200000654,14:27:26,1019,-943,1000
200000662,14:27:26,5975,-712,1000
200000639,14:27:26,3695,-4647,1000
200000661,14:27:26,1033,-2723,1000
200000663,14:27:26,3892,-1157,1000
200000636,14:27:26,1831,-1801,1000
200000638,14:27:27,4023,-7,1000
200000640,14:27:27,3042,-1501,1000
200000641,14:27:27,4647,-987,1000
200000654,14:27:27,248,-443,1000
200000662,14:27:27,6178,-973,1000
200000636,14:27:27,2211,-1970,1000
200000639,14:27:27,4206,-5082,1000
200000661,14:27:27,1348,-3228,1000
200000663,14:27:27,3892,-1157,1000
200000638,14:27:28,4005,437,1000
200000640,14:27:28,3042,-1501,1000
200000641,14:27:28,4647,-987,1000
200000654,14:27:28,-59,-164,1000
200000662,14:27:28,6677,-582,1000
200000663,14:27:28,3892,-1157,1000
200000636,14:27:28,1901,-1732,1000
200000639,14:27:28,3163,-1807,1000
200000661,14:27:28,1582,-3516,1000
200000638,14:27:29,4449,507,1000
200000640,14:27:29,3042,-1501,1000
200000641,14:27:29,4647,-987,1000
200000654,14:27:29,147,-383,1000
200000662,14:27:29,6677,-582,1000
200000663,14:27:29,3892,-1157,1000
200000639,14:27:29,3482,-1205,1000
200000636,14:27:29,1901,-1732,1000
200000661,14:27:29,1115,-3298,1000
200000638,14:27:30,4449,507,1000
200000640,14:27:29,3042,-1501,1000
200000641,14:27:30,4647,-987,1000
200000654,14:27:30,147,-383,1000
200000662,14:27:30,6237,-404,1000
200000663,14:27:30,3643,-722,1000
200000639,14:27:30,3600,-1799,1000
200000636,14:27:30,1901,-1732,1000
200000661,14:27:30,1115,-3298,1000
200000638,14:27:31,4154,427,1000
200000640,14:27:30,2735,-1463,1000
200000641,14:27:31,4139,-794,1000
200000654,14:27:31,147,-383,1000
200000639,14:27:31,3880,-2149,1000
200000662,14:27:31,6237,-404,1000
200000663,14:27:31,3643,-722,1000
200000636,14:27:31,1338,-1586,1000
200000661,14:27:31,728,-3195,1000
200000638,14:27:32,4154,427,1000
200000640,14:27:31,2735,-1463,1000
200000641,14:27:32,4139,-794,1000
200000654,14:27:32,710,-552,1000
200000662,14:27:32,,,
200000636,14:27:32,1648,-1573,1000
200000639,14:27:32,3625,-1973,1000
200000661,14:27:32,728,-3195,1000
200000663,14:27:32,3643,-722,1000
200000638,14:27:32,4154,427,1000
200000640,14:27:32,2735,-1463,1000
200000641,14:27:33,4139,-794,1000
200000654,14:27:33,451,-338,1000
200000662,14:27:33,,,
200000636,14:27:33,1648,-1573,1000
200000639,14:27:33,3625,-1973,1000
200000661,14:27:33,728,-3195,1000
200000663,14:27:33,3643,-722,1000
200000638,14:27:33,4154,427,1000
200000640,14:27:33,2735,-1463,1000
200000641,14:27:34,4139,-794,1000
